Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,11/04/2023,9.32,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,11/04/2023,7.91,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,11/04/2023,20.1,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,12/04/2023,7.9,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,12/04/2023,9.7,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,12/04/2023,179.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,12/04/2023,315.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,12/04/2023,1.83,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,12/04/2023,10.5,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,12/04/2023,4.1834,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,12/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,12/04/2023,65.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,12/04/2023,90.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,12/04/2023,32.1,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,12/04/2023,1398.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,12/04/2023,941.75,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,12/04/2023,1019.94,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,12/04/2023,56.7,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,12/04/2023,5.67,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,12/04/2023,10.51,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,12/04/2023,7.73,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,12/04/2023,7.3,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,12/04/2023,5.03,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,12/04/2023,21.7,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,13/04/2023,11.9,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,13/04/2023,12.6,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,13/04/2023,180.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,13/04/2023,270.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,13/04/2023,0.71,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,13/04/2023,9.5,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,13/04/2023,1.2002,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,13/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,13/04/2023,100.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,13/04/2023,100.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,13/04/2023,9.2,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,13/04/2023,706.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,13/04/2023,943.98,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,13/04/2023,1022.47,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,13/04/2023,46.5,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,13/04/2023,6.81,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,13/04/2023,8.44,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,13/04/2023,6.96,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,13/04/2023,6.81,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,13/04/2023,4.48,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,13/04/2023,18.2,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,14/04/2023,27.5,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,14/04/2023,28.8,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,14/04/2023,180.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,14/04/2023,270.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,14/04/2023,1.26,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,14/04/2023,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,14/04/2023,4.6504,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,14/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,14/04/2023,91.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,14/04/2023,99.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,14/04/2023,35.4,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,14/04/2023,1358.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,14/04/2023,943.62,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,14/04/2023,1020.98,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,14/04/2023,56.6,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,14/04/2023,10.25,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,14/04/2023,12.08,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,14/04/2023,10.87,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,14/04/2023,10.37,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,14/04/2023,7.5,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,14/04/2023,21.1,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,15/04/2023,-2.3,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,15/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,15/04/2023,359.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,15/04/2023,0.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,15/04/2023,2.35,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,15/04/2023,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,15/04/2023,5.467,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,15/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,15/04/2023,69.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,15/04/2023,91.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,15/04/2023,41.5,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,15/04/2023,1594.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,15/04/2023,948.25,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,15/04/2023,1025.66,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,15/04/2023,35.6,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,15/04/2023,10.09,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,15/04/2023,15.65,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,15/04/2023,12.59,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,15/04/2023,11.61,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,15/04/2023,9.39,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,15/04/2023,14.9,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,16/04/2023,-4.9,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,16/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,16/04/2023,0.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,16/04/2023,45.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,16/04/2023,4.91,1
