Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,11/04/2024,8.22,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,11/04/2024,1.2,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,12/04/2024,-4.9,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,12/04/2024,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,12/04/2024,263.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,12/04/2024,-1.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,12/04/2024,4.9,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,12/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,12/04/2024,10.8021,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,12/04/2024,95.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,12/04/2024,39.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,12/04/2024,68.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,12/04/2024,8.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,12/04/2024,82.6,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,12/04/2024,2399.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,12/04/2024,1024.74,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,12/04/2024,1029.28,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,12/04/2024,27.0,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,12/04/2024,12.27,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,12/04/2024,27.74,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,12/04/2024,19.26,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,12/04/2024,19.23,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,12/04/2024,11.28,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,12/04/2024,2.7,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,13/04/2024,-4.9,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,13/04/2024,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,13/04/2024,278.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,13/04/2024,-1.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,13/04/2024,4.91,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,13/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,13/04/2024,10.6352,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,13/04/2024,92.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,13/04/2024,51.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,13/04/2024,74.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,13/04/2024,7.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,13/04/2024,81.1,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,13/04/2024,2307.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,13/04/2024,1023.28,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,13/04/2024,1027.84,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,13/04/2024,22.8,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,13/04/2024,12.92,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,13/04/2024,24.87,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,13/04/2024,18.17,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,13/04/2024,17.97,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,13/04/2024,12.6,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,13/04/2024,2.6,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,14/04/2024,-4.8,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,14/04/2024,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,14/04/2024,342.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,14/04/2024,0.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,14/04/2024,4.81,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,14/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,14/04/2024,9.5518,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,14/04/2024,95.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,14/04/2024,60.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,14/04/2024,83.0,1
