AYUNTAMIENTO,PROVINCIA,CCAA,RÉGIMEN DEDICACIÓN,TOTAL PERCIBIDO
Illano,Asturias,"Asturias, Principado de",Parcial,"20.980,88"
Illas,Asturias,"Asturias, Principado de",Sin dedicación,"600,00"
Langreo,Asturias,"Asturias, Principado de",Exclusiva,"49.499,92"
LAVIANA,Asturias,"Asturias, Principado de",Exclusiva,"30.087,82"
Llanera,Asturias,"Asturias, Principado de",Exclusiva,"37.564,94"
LLANES,Asturias,"Asturias, Principado de",Parcial,"40.544,00"
MIERES,Asturias,"Asturias, Principado de",Sin dedicación,"6.315,00"
Morcín,Asturias,"Asturias, Principado de",Sin dedicación,"1.320,00"
Muros de Nalón,Asturias,"Asturias, Principado de",Exclusiva,"27.594,28"
NAVIA,Asturias,"Asturias, Principado de",Sin dedicación,"6.424,62"
Noreña,Asturias,"Asturias, Principado de",Sin dedicación,"1.273,00"
Onís,Asturias,"Asturias, Principado de",Parcial,"32.543,25"
OVIEDO,Asturias,"Asturias, Principado de",Sin dedicación,"22.200,00"
Peñamellera Alta,Asturias,"Asturias, Principado de",Parcial,"31.730,20"
Peñamellera Baja,Asturias,"Asturias, Principado de",Exclusiva,"34.773,76"
Pesoz,Asturias,"Asturias, Principado de",Parcial,"12.624,46"
Piloña,Asturias,"Asturias, Principado de",Exclusiva,"40.509,59"
Ponga,Asturias,"Asturias, Principado de",Parcial,"26.766,78"
Proaza,Asturias,"Asturias, Principado de",Sin dedicación,"899,00"
Quirós,Asturias,"Asturias, Principado de",Sin dedicación,"2.960,00"
"Regueras, Las",Asturias,"Asturias, Principado de",Exclusiva,"31.500,00"
Ribadedeva,Asturias,"Asturias, Principado de",Parcial,"35.000,00"
RIBADESELLA,Asturias,"Asturias, Principado de",Exclusiva,"49.062,02"
RIBERA DE ARRIBA,Asturias,"Asturias, Principado de",Exclusiva,"45.688,72"
Salas,Asturias,"Asturias, Principado de",Exclusiva,"36.021,30"
San Martín de Oscos,Asturias,"Asturias, Principado de",Parcial,"16.800,00"
San Martín del Rey Aurelio,Asturias,"Asturias, Principado de",Sin dedicación,"1.020,00"
San Tirso de Abres,Asturias,"Asturias, Principado de",Sin dedicación,"0,00"
Santa Eulalia de Oscos,Asturias,"Asturias, Principado de",Parcial,"12.820,44"
Santo Adriano,Asturias,"Asturias, Principado de",Parcial,"8.400,00"
Sariego,Asturias,"Asturias, Principado de",Exclusiva,"23.735,44"
SIERO,Asturias,"Asturias, Principado de",Exclusiva,"53.517,39"
Sobrescobio,Asturias,"Asturias, Principado de",Sin dedicación,"5.780,00"
Somiedo,Asturias,"Asturias, Principado de",Exclusiva,"41.365,27"
Soto del Barco,Asturias,"Asturias, Principado de",Exclusiva,"40.354,58"
Tapia de Casariego,Asturias,"Asturias, Principado de",Exclusiva,"28.014,00"
Taramundi,Asturias,"Asturias, Principado de",Parcial,"29.452,36"
Teverga,Asturias,"Asturias, Principado de",Exclusiva,"24.999,94"
Tineo,Asturias,"Asturias, Principado de",Exclusiva,"45.000,00"
Valdés,Asturias,"Asturias, Principado de",Exclusiva,"36.851,24"
Vegadeo,Asturias,"Asturias, Principado de",Exclusiva,"41.997,46"
Villanueva de Oscos,Asturias,"Asturias, Principado de",Parcial,"21.340,90"
VILLAVICIOSA,Asturias,"Asturias, Principado de",Exclusiva,"43.384,38"
Villayón,Asturias,"Asturias, Principado de",Exclusiva,"40.557,76"
"Adrada, La",Ávila,Castilla y León,Exclusiva,"37.128,00"
Albornos,Ávila,Castilla y León,Sin dedicación,"0,00"
Aldeanueva de Santa Cruz,Ávila,Castilla y León,Sin dedicación,"0,00"
Aldeaseca,Ávila,Castilla y León,Sin dedicación,"0,00"
"Aldehuela, La",Ávila,Castilla y León,Sin dedicación,"0,00"
Amavida,Ávila,Castilla y León,Sin dedicación,"0,00"
"Arenal, El",Ávila,Castilla y León,Sin dedicación,"0,00"
Arevalillo,Ávila,Castilla y León,Sin dedicación,"0,00"
Arévalo,Ávila,Castilla y León,Exclusiva,"36.875,47"
Aveinte,Ávila,Castilla y León,Sin dedicación,"0,00"
Avellaneda,Ávila,Castilla y León,Sin dedicación,"0,00"
"ÁVILA",Ávila,Castilla y León,Exclusiva,"70.293,02"
"Barco de Ávila, El",Ávila,Castilla y León,Exclusiva,"23.914,94"
"Barraco, El",Ávila,Castilla y León,Parcial,"28.053,12"
Barromán,Ávila,Castilla y León,Sin dedicación,"0,00"
Becedas,Ávila,Castilla y León,Sin dedicación,"0,00"
Becedillas,Ávila,Castilla y León,Sin dedicación,"0,00"
Bercial de Zapardiel,Ávila,Castilla y León,Sin dedicación,"0,00"
"Berlanas, Las",Ávila,Castilla y León,Sin dedicación,"0,00"
Bernuy-Zapardiel,Ávila,Castilla y León,Sin dedicación,"0,00"
Berrocalejo de Aragona,Ávila,Castilla y León,Sin dedicación,"0,00"
Blascomillán,Ávila,Castilla y León,Sin dedicación,"0,00"
Blasconuño de Matacabras,Ávila,Castilla y León,Sin dedicación,"0,00"
Blascosancho,Ávila,Castilla y León,Sin dedicación,"0,00"
"Bohodón, El",Ávila,Castilla y León,Sin dedicación,"0,00"
Bohoyo,Ávila,Castilla y León,Sin dedicación,"203,72"
Bonilla de la Sierra,Ávila,Castilla y León,Sin dedicación,"0,00"
Brabos,Ávila,Castilla y León,Sin dedicación,"0,00"
Bularros,Ávila,Castilla y León,Sin dedicación,"0,00"
Burgohondo,Ávila,Castilla y León,Exclusiva,"41.466,60"
Cabezas de Alambre,Ávila,Castilla y León,Sin dedicación,"0,00"
Cabezas del Pozo,Ávila,Castilla y León,Sin dedicación,"0,00"
Cabezas del Villar,Ávila,Castilla y León,Sin dedicación,"0,00"
Cabizuela,Ávila,Castilla y León,Sin dedicación,"0,00"
Canales,Ávila,Castilla y León,Sin dedicación,"0,00"
Candeleda,Ávila,Castilla y León,Exclusiva,"27.279,62"
Cardeñosa,Ávila,Castilla y León,Sin dedicación,"0,00"
Casas del Puerto,Ávila,Castilla y León,Sin dedicación,"0,00"
Casasola,Ávila,Castilla y León,Sin dedicación,"0,00"
Casavieja,Ávila,Castilla y León,Exclusiva,"19.180,00"
Casillas,Ávila,Castilla y León,Sin dedicación,"3.600,00"
Castellanos de Zapardiel,Ávila,Castilla y León,Sin dedicación,"0,00"
Cepeda la Mora,Ávila,Castilla y León,Sin dedicación,"0,00"
Chamartín,Ávila,Castilla y León,Sin dedicación,"0,00"
Cillán,Ávila,Castilla y León,Sin dedicación,"0,00"
"Colilla, La",Ávila,Castilla y León,Sin dedicación,"0,00"
Collado de Contreras,Ávila,Castilla y León,Sin dedicación,"100,00"
Collado del Mirón,Ávila,Castilla y León,Sin dedicación,"0,00"
Constanzana,Ávila,Castilla y León,Sin dedicación,"0,00"
Crespos,Ávila,Castilla y León,Sin dedicación,"0,00"
Diego del Carpio,Ávila,Castilla y León,Sin dedicación,"0,00"
Donjimeno,Ávila,Castilla y León,Sin dedicación,"0,00"
Donvidas,Ávila,Castilla y León,Sin dedicación,"0,00"
Espinosa de los Caballeros,Ávila,Castilla y León,Sin dedicación,"0,00"
Flores de Ávila,Ávila,Castilla y León,Sin dedicación,"0,00"
Fresnedilla,Ávila,Castilla y León,Sin dedicación,"250,00"
"Fresno, El",Ávila,Castilla y León,Sin dedicación,"0,00"
Fuente el Saúz,Ávila,Castilla y León,Sin dedicación,"0,00"
Fuentes de Año,Ávila,Castilla y León,Sin dedicación,"0,00"
Gallegos de Altamiros,Ávila,Castilla y León,Sin dedicación,"0,00"
Gallegos de Sobrinos,Ávila,Castilla y León,Sin dedicación,"0,00"
Garganta del Villar,Ávila,Castilla y León,Sin dedicación,"0,00"
Gavilanes,Ávila,Castilla y León,Parcial,"23.999,99"
Gemuño,Ávila,Castilla y León,Sin dedicación,"0,00"
Gil García,Ávila,Castilla y León,Sin dedicación,"0,00"
Gilbuena,Ávila,Castilla y León,Sin dedicación,"0,00"
Gimialcón,Ávila,Castilla y León,Sin dedicación,"0,00"
Grandes y San Martín,Ávila,Castilla y León,Sin dedicación,"0,00"
Guisando,Ávila,Castilla y León,Sin dedicación,"928,20"
Gutierre-Muñoz,Ávila,Castilla y León,Sin dedicación,"0,00"
Hernansancho,Ávila,Castilla y León,Sin dedicación,"0,00"
HERRADÓN DE PINARES,Ávila,Castilla y León,Sin dedicación,"0,00"
Herreros de Suso,Ávila,Castilla y León,Sin dedicación,"0,00"
Higuera de las Dueñas,Ávila,Castilla y León,Sin dedicación,"0,00"
"Hija de Dios, La",Ávila,Castilla y León,Sin dedicación,"0,00"
Horcajo de las Torres,Ávila,Castilla y León,Sin dedicación,"250,00"
"Hornillo, El",Ávila,Castilla y León,Sin dedicación,"0,00"
"Hoyo de Pinares, El",Ávila,Castilla y León,Exclusiva,"39.900,00"
Hoyocasero,Ávila,Castilla y León,Sin dedicación,"0,00"
Hoyorredondo,Ávila,Castilla y León,Sin dedicación,"0,00"
Hoyos de Miguel Muñoz,Ávila,Castilla y León,Sin dedicación,"0,00"
Hurtumpascual,Ávila,Castilla y León,Sin dedicación,"0,00"
Junciana,Ávila,Castilla y León,Sin dedicación,"150,00"
Langa,Ávila,Castilla y León,Sin dedicación,"120,00"
Lanzahíta,Ávila,Castilla y León,Parcial,"22.632,08"
Madrigal de las Altas Torres,Ávila,Castilla y León,Exclusiva,"33.744,76"
Maello,Ávila,Castilla y León,Sin dedicación,"120,00"
Malpartida de Corneja,Ávila,Castilla y León,Sin dedicación,"0,00"
Mamblas,Ávila,Castilla y León,Sin dedicación,"0,00"
Mancera de Arriba,Ávila,Castilla y León,Sin dedicación,"0,00"
Manjabálago y Ortigosa de Rioalmar,Ávila,Castilla y León,Sin dedicación,"0,00"
Marlín,Ávila,Castilla y León,Sin dedicación,"0,00"
Martiherrero,Ávila,Castilla y León,Sin dedicación,"0,00"
Martínez,Ávila,Castilla y León,Sin dedicación,"0,00"
Mediana de Voltoya,Ávila,Castilla y León,Sin dedicación,"0,00"
Medinilla,Ávila,Castilla y León,Sin dedicación,"0,00"
Mengamuñoz,Ávila,Castilla y León,Sin dedicación,"0,00"
Mesegar de Corneja,Ávila,Castilla y León,Sin dedicación,"1.560,00"
Mijares,Ávila,Castilla y León,Parcial,"16.948,98"
Mingorría,Ávila,Castilla y León,Sin dedicación,"0,00"
"Mirón, El",Ávila,Castilla y León,Sin dedicación,"0,00"
Mironcillo,Ávila,Castilla y León,Sin dedicación,"0,00"
Mirueña de los Infanzones,Ávila,Castilla y León,Sin dedicación,"0,00"
Mombeltrán,Ávila,Castilla y León,Sin dedicación,"350,00"
Monsalupe,Ávila,Castilla y León,Sin dedicación,"0,00"
Moraleja de Matacabras,Ávila,Castilla y León,Sin dedicación,"0,00"
Muñana,Ávila,Castilla y León,Sin dedicación,"0,00"
Muñico,Ávila,Castilla y León,Sin dedicación,"0,00"
Muñogalindo,Ávila,Castilla y León,Sin dedicación,"2.950,00"
Muñomer del Peco,Ávila,Castilla y León,Sin dedicación,"0,00"
Muñopepe,Ávila,Castilla y León,Sin dedicación,"0,00"
Muñosancho,Ávila,Castilla y León,Sin dedicación,"0,00"
Muñotello,Ávila,Castilla y León,Sin dedicación,"0,00"
Narrillos del Álamo,Ávila,Castilla y León,Sin dedicación,"0,00"
Narrillos del Rebollar,Ávila,Castilla y León,Sin dedicación,"0,00"
Narros de Saldueña,Ávila,Castilla y León,Sin dedicación,"0,00"
Narros del Castillo,Ávila,Castilla y León,Sin dedicación,"0,00"
Narros del Puerto,Ávila,Castilla y León,Sin dedicación,"3.197,17"
Nava de Arévalo,Ávila,Castilla y León,Sin dedicación,"260,00"
Nava del Barco,Ávila,Castilla y León,Sin dedicación,"730,00"
Navacepedilla de Corneja,Ávila,Castilla y León,Sin dedicación,"0,00"
Navadijos,Ávila,Castilla y León,Sin dedicación,"0,00"
Navaescurial,Ávila,Castilla y León,Parcial,"3.415,00"
Navahondilla,Ávila,Castilla y León,Parcial,"22.516,62"
Navalacruz,Ávila,Castilla y León,Sin dedicación,"0,00"
Navalonguilla,Ávila,Castilla y León,Sin dedicación,"2.558,00"
Navalosa,Ávila,Castilla y León,Sin dedicación,"0,00"
Navalperal de Pinares,Ávila,Castilla y León,Sin dedicación,"0,00"
Navalperal de Tormes,Ávila,Castilla y León,Sin dedicación,"0,00"
Navaluenga,Ávila,Castilla y León,Sin dedicación,"0,00"
Navaquesera,Ávila,Castilla y León,Sin dedicación,"0,00"
Navarrevisca,Ávila,Castilla y León,Sin dedicación,"0,00"
"Navas del Marqués, Las",Ávila,Castilla y León,Parcial,"39.366,86"
Navatalgordo,Ávila,Castilla y León,Sin dedicación,"0,00"
Neila de San Miguel,Ávila,Castilla y León,Sin dedicación,"0,00"
Niharra,Ávila,Castilla y León,Sin dedicación,"0,00"
Ojos-Albos,Ávila,Castilla y León,Sin dedicación,"0,00"
Orbita,Ávila,Castilla y León,Sin dedicación,"0,00"
"Oso, El",Ávila,Castilla y León,Sin dedicación,"0,00"
Padiernos,Ávila,Castilla y León,Sin dedicación,"0,00"
Pajares de Adaja,Ávila,Castilla y León,Sin dedicación,"0,00"
Palacios de Goda,Ávila,Castilla y León,Sin dedicación,"0,00"
Papatrigo,Ávila,Castilla y León,Sin dedicación,"0,00"
"Parral, El",Ávila,Castilla y León,Sin dedicación,"0,00"
Pascualcobo,Ávila,Castilla y León,Sin dedicación,"160,00"
Pedro-Rodríguez,Ávila,Castilla y León,Sin dedicación,"0,00"
Peñalba de Ávila,Ávila,Castilla y León,Sin dedicación,"0,00"
Piedrahíta,Ávila,Castilla y León,Sin dedicación,"0,00"
Poveda,Ávila,Castilla y León,Sin dedicación,"0,00"
Poyales del Hoyo,Ávila,Castilla y León,Sin dedicación,"0,00"
Pradosegar,Ávila,Castilla y León,Sin dedicación,"0,00"
Puerto Castilla,Ávila,Castilla y León,Sin dedicación,"0,00"
Rasueros,Ávila,Castilla y León,Sin dedicación,"0,00"
Riocabado,Ávila,Castilla y León,Sin dedicación,"0,00"
Riofrío,Ávila,Castilla y León,Sin dedicación,"150,00"
Rivilla de Barajas,Ávila,Castilla y León,Sin dedicación,"0,00"
Salobral,Ávila,Castilla y León,Sin dedicación,"0,00"
Salvadiós,Ávila,Castilla y León,Sin dedicación,"0,00"
San Bartolomé de Béjar,Ávila,Castilla y León,Sin dedicación,"0,00"
San Bartolomé de Corneja,Ávila,Castilla y León,Sin dedicación,"0,00"
San Bartolomé de Pinares,Ávila,Castilla y León,Sin dedicación,"0,00"
San Esteban de los Patos,Ávila,Castilla y León,Sin dedicación,"0,00"
San Esteban de Zapardiel,Ávila,Castilla y León,Sin dedicación,"0,00"
San Esteban del Valle,Ávila,Castilla y León,Sin dedicación,"0,00"
San García de Ingelmos,Ávila,Castilla y León,Sin dedicación,"0,00"
San Juan de Gredos,Ávila,Castilla y León,Sin dedicación,"0,00"
San Juan de la Encinilla,Ávila,Castilla y León,Sin dedicación,"0,00"
San Juan de la Nava,Ávila,Castilla y León,Sin dedicación,"0,00"
San Lorenzo de Tormes,Ávila,Castilla y León,Sin dedicación,"0,00"
San Martín de la Vega del Alberche,Ávila,Castilla y León,Sin dedicación,"0,00"
San Martín del Pimpollar,Ávila,Castilla y León,Sin dedicación,"0,00"
San Miguel de Corneja,Ávila,Castilla y León,Sin dedicación,"0,00"
San Miguel de Serrezuela,Ávila,Castilla y León,Sin dedicación,"0,00"
San Pascual,Ávila,Castilla y León,Sin dedicación,"0,00"
San Pedro del Arroyo,Ávila,Castilla y León,Parcial,"23.066,40"
San Vicente de Arévalo,Ávila,Castilla y León,Sin dedicación,"0,00"
Sanchidrián,Ávila,Castilla y León,Sin dedicación,"0,00"
Sanchorreja,Ávila,Castilla y León,Sin dedicación,"0,00"
Santa Cruz de Pinares,Ávila,Castilla y León,Sin dedicación,"0,00"
Santa Cruz del Valle,Ávila,Castilla y León,Sin dedicación,"0,00"
Santa María de los Caballeros,Ávila,Castilla y León,Sin dedicación,"0,00"
Santa María del Arroyo,Ávila,Castilla y León,Sin dedicación,"0,00"
Santa María del Berrocal,Ávila,Castilla y León,Sin dedicación,"0,00"
Santa María del Cubillo,Ávila,Castilla y León,Sin dedicación,"0,00"
Santa María del Tiétar,Ávila,Castilla y León,Parcial,"19.451,46"
Santiago del Collado,Ávila,Castilla y León,Sin dedicación,"0,00"
Santiago del Tormes,Ávila,Castilla y León,Sin dedicación,"340,79"
Santo Domingo de las Posadas,Ávila,Castilla y León,Sin dedicación,"0,00"
"Serrada, La",Ávila,Castilla y León,Sin dedicación,"0,00"
Sinlabajos,Ávila,Castilla y León,Sin dedicación,"0,00"
Solana de Ávila,Ávila,Castilla y León,Sin dedicación,"0,00"
Solana de Rioalmar,Ávila,Castilla y León,Sin dedicación,"0,00"
Solosancho,Ávila,Castilla y León,Sin dedicación,"0,00"
Sotalbo,Ávila,Castilla y León,Sin dedicación,"0,00"
Sotillo de la Adrada,Ávila,Castilla y León,Sin dedicación,"3.625,00"
"Tiemblo, El",Ávila,Castilla y León,Parcial,"37.050,58"
Tiñosillos,Ávila,Castilla y León,Sin dedicación,"0,00"
Tolbaños,Ávila,Castilla y León,Sin dedicación,"0,00"
Tormellas,Ávila,Castilla y León,Sin dedicación,"0,00"
Tornadizos de Ávila,Ávila,Castilla y León,Parcial,"8.550,00"
Tórtoles,Ávila,Castilla y León,Sin dedicación,"1.400,00"
Umbrías,Ávila,Castilla y León,Sin dedicación,"0,00"
Valdecasa,Ávila,Castilla y León,Sin dedicación,"0,00"
Vega de Santa María,Ávila,Castilla y León,Sin dedicación,"0,00"
Velayos,Ávila,Castilla y León,Sin dedicación,"0,00"
Villafranca de la Sierra,Ávila,Castilla y León,Sin dedicación,"0,00"
Villanueva de Ávila,Ávila,Castilla y León,Sin dedicación,"0,00"
Villanueva de Gómez,Ávila,Castilla y León,Sin dedicación,"0,00"
Villanueva del Aceral,Ávila,Castilla y León,Sin dedicación,"0,00"
Villanueva del Campillo,Ávila,Castilla y León,Sin dedicación,"0,00"
Villar de Corneja,Ávila,Castilla y León,Sin dedicación,"0,00"
Vita,Ávila,Castilla y León,Sin dedicación,"0,00"
Zapardiel de la Cañada,Ávila,Castilla y León,Sin dedicación,"0,00"
Zapardiel de la Ribera,Ávila,Castilla y León,Sin dedicación,"0,00"
Aceuchal,Badajoz,Extremadura,Parcial,"32.200,00"
Ahillones,Badajoz,Extremadura,Parcial,"25.144,14"
Alange,Badajoz,Extremadura,Parcial,"29.999,90"
"Albuera, La",Badajoz,Extremadura,Exclusiva,"37.134,42"
Alconchel,Badajoz,Extremadura,Sin dedicación,"824,86"
Alconera,Badajoz,Extremadura,Parcial,"14.205,90"
Almendral,Badajoz,Extremadura,Exclusiva,"23.974,16"
Atalaya,Badajoz,Extremadura,Sin dedicación,"105,00"
BADAJOZ,Badajoz,Extremadura,Exclusiva,"47.639,82"
Baterno,Badajoz,Extremadura,Parcial,"16.432,63"
Berlanga,Badajoz,Extremadura,Parcial,"8.715,28"
Bienvenida,Badajoz,Extremadura,Parcial,"30.000,04"
Bodonal de la Sierra,Badajoz,Extremadura,Exclusiva,"27.834,94"
Burguillos del Cerro,Badajoz,Extremadura,Exclusiva,"23.872,10"
Cabeza del Buey,Badajoz,Extremadura,Exclusiva,"37.230,48"
Cabeza la Vaca,Badajoz,Extremadura,Parcial,"10.824,66"
Calamonte,Badajoz,Extremadura,Exclusiva,"36.061,08"
Calera de León,Badajoz,Extremadura,Exclusiva,"29.345,34"
CAMPANARIO,Badajoz,Extremadura,Sin dedicación,"2.490,00"
Campillo de Llerena,Badajoz,Extremadura,Exclusiva,"30.085,93"
Capilla,Badajoz,Extremadura,Parcial,"17.815,70"
"Carrascalejo, El",Badajoz,Extremadura,Sin dedicación,"0,00"
Casas de Don Pedro,Badajoz,Extremadura,Parcial,"19.088,02"
Casas de Reina,Badajoz,Extremadura,Sin dedicación,"150,00"
Castuera,Badajoz,Extremadura,Sin dedicación,"2.000,00"
"Codosera, La",Badajoz,Extremadura,Exclusiva,"33.600,00"
Cordobilla de Lácara,Badajoz,Extremadura,Parcial,"23.000,04"
"Coronada, La",Badajoz,Extremadura,Parcial,"15.757,34"
Cristina,Badajoz,Extremadura,Exclusiva,"16.200,00"
Don Álvaro,Badajoz,Extremadura,Parcial,"19.399,60"
Don Benito,Badajoz,Extremadura,Exclusiva,"52.835,37"
Esparragalejo,Badajoz,Extremadura,Exclusiva,"29.915,76"
Esparragosa de la Serena,Badajoz,Extremadura,Parcial,"21.495,34"
Esparragosa de Lares,Badajoz,Extremadura,Parcial,"17.869,18"
Fuenlabrada de los Montes,Badajoz,Extremadura,Exclusiva,"29.760,08"
Fuente de Cantos,Badajoz,Extremadura,Exclusiva,"41.847,88"
Fuente del Arco,Badajoz,Extremadura,Sin dedicación,"0,00"
Garbayuela,Badajoz,Extremadura,Parcial,"22.841,00"
Garlitos,Badajoz,Extremadura,Parcial,"14.119,44"
Granja de Torrehermosa,Badajoz,Extremadura,Exclusiva,"25.670,76"
Guadiana del Caudillo,Badajoz,Extremadura,Exclusiva,"38.087,42"
Guareña,Badajoz,Extremadura,Parcial,"15.134,99"
Helechosa de los Montes,Badajoz,Extremadura,Sin dedicación,"0,00"
Herrera del Duque,Badajoz,Extremadura,Sin dedicación,"5.576,25"
Higuera de la Serena,Badajoz,Extremadura,Parcial,"23.770,93"
Higuera de Llerena,Badajoz,Extremadura,Parcial,"22.488,84"
Higuera de Vargas,Badajoz,Extremadura,Exclusiva,"34.201,79"
Higuera la Real,Badajoz,Extremadura,Parcial,"25.409,30"
Hinojosa del Valle,Badajoz,Extremadura,Exclusiva,"26.740,20"
Hornachos,Badajoz,Extremadura,Sin dedicación,"3.130,00"
"Lapa, La",Badajoz,Extremadura,Parcial,"26.337,66"
Llera,Badajoz,Extremadura,Parcial,"22.960,00"
Llerena,Badajoz,Extremadura,Exclusiva,"49.534,66"
Magacela,Badajoz,Extremadura,Parcial,"21.612,78"
Malcocinado,Badajoz,Extremadura,Parcial,"10.761,48"
Medellín,Badajoz,Extremadura,Exclusiva,"27.067,60"
Mengabril,Badajoz,Extremadura,Parcial,"17.933,72"
Mérida,Badajoz,Extremadura,Exclusiva,"64.336,30"
Mirandilla,Badajoz,Extremadura,Sin dedicación,"3.200,00"
Monesterio,Badajoz,Extremadura,Exclusiva,"39.000,22"
Montemolín,Badajoz,Extremadura,Exclusiva,"16.800,00"
Monterrubio de la Serena,Badajoz,Extremadura,Parcial,"31.262,00"
Montijo,Badajoz,Extremadura,Exclusiva,"45.999,94"
Navalvillar de Pela,Badajoz,Extremadura,Parcial,"20.364,12"
Nogales,Badajoz,Extremadura,Sin dedicación,"0,00"
Oliva de Mérida,Badajoz,Extremadura,Parcial,"24.500,00"
Olivenza,Badajoz,Extremadura,Exclusiva,"48.715,66"
Palomas,Badajoz,Extremadura,Parcial,"24.126,48"
"Parra, La",Badajoz,Extremadura,Exclusiva,"24.124,92"
Peñalsordo,Badajoz,Extremadura,Parcial,"22.149,38"
Peraleda del Zaucejo,Badajoz,Extremadura,Sin dedicación,"0,00"
Puebla de la Calzada,Badajoz,Extremadura,Exclusiva,"35.396,20"
Puebla de la Reina,Badajoz,Extremadura,Parcial,"24.162,60"
Puebla de Obando,Badajoz,Extremadura,Parcial,"18.596,06"
Puebla de Sancho Pérez,Badajoz,Extremadura,Sin dedicación,"1.800,00"
Puebla del Maestre,Badajoz,Extremadura,Parcial,"16.800,00"
Puebla del Prior,Badajoz,Extremadura,Parcial,"21.579,60"
Pueblonuevo del Guadiana,Badajoz,Extremadura,Exclusiva,"35.931,42"
Reina,Badajoz,Extremadura,Parcial,"11.200,00"
Retamal de Llerena,Badajoz,Extremadura,Parcial,"24.494,40"
Ribera del Fresno,Badajoz,Extremadura,Exclusiva,"31.500,00"
Salvaleón,Badajoz,Extremadura,Exclusiva,"35.405,30"
Salvatierra de los Barros,Badajoz,Extremadura,Sin dedicación,"1.796,00"
San Pedro de Mérida,Badajoz,Extremadura,Parcial,"16.108,88"
San Vicente de Alcántara,Badajoz,Extremadura,Exclusiva,"47.953,08"
Santa Amalia,Badajoz,Extremadura,Exclusiva,"27.790,00"
Segura de León,Badajoz,Extremadura,Sin dedicación,"550,00"
Solana de los Barros,Badajoz,Extremadura,Parcial,"16.170,00"
Talarrubias,Badajoz,Extremadura,Exclusiva,"38.987,62"
Talavera la Real,Badajoz,Extremadura,Exclusiva,"2.975,67"
