Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_autonoma
Seat,ateca,16990,39564,2021,Gasolina,116.0,HARO,Manual,26200,La Rioja
Suzuki,jimny,8500,291563,2008,Diésel,86.0,UBEDA,Manual,23400,Andalucía
Renault,talisman,10490,180000,2017,Diésel,110.0,Calatrava,Manual,13160,Castilla-La Mancha
Land rover,range rover,29490,259990,2013,Diésel,340.0,ODON,Automático,28670,Madrid
Peugeot,208,14290,7506,2024,Gasolina,102.0,MADRID,Manual,28021,Madrid
Jaguar,xe,17172,79000,2019,Diésel,179.0,MADRID,Automático,28649,Madrid
Mercedes-benz,gle 350,48990,101195,2021,Electro/Diésel,320.0,Málaga,Automático,29004,Andalucía
Mercedes-benz,cla 200,36890,5427,2024,Gasolina,163.0,BARCELONA,Automático,08017,Cataluña
Toyota,rav 4,11583,197678,2011,Diésel,150.0,ROZAS,Manual,28232,Madrid
Mercedes-benz,glk 220,18990,155000,2014,Diésel,170.0,utrera,Automático,41710,Andalucía
Renault,clio,3800,148446,2006,Gasolina,98.0,Rioja,Manual,26006,La Rioja
Volkswagen,polo,2490,214000,2003,Gasolina,75.0,Ávila,Manual,05004,Andalucía
Opel,corsa,9490,65278,2021,Gasolina,101.0,MADRID,Manual,28021,Madrid
Toyota,c-hr,17775,102000,2020,Electro/Gasolina,122.0,MALAGA,Automático,29003,Andalucía
Skoda,karoq,16989,33851,2021,Gasolina,116.0,ALBACETE,Automático,02006,Andalucía
