Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_Autonoma
Mazda,mx-30,17900,49648,2020,Eléctrico,143.0,ZARAGOZA,Automático,50014,Aragón
Peugeot,208,14290,7506,2024,Gasolina,102.0,MADRID,Manual,28021,Comunidad de Madrid
Peugeot,308,14400,7545,2023,Gasolina,131.0,MERIDA,Manual,06800,Extremadura
Ds automobiles,ds 7 crossback,15490,147000,2018,Gasolina,181.0,Campo,Automático,28840,Comunidad de Madrid
Mercedes-benz,unknown,23900,105000,2021,Diésel,160.0,MAR,Automático,04740,Andalucía
Mg,mg3,17094,9728,2024,Electro/Gasolina,194.0,MADRID,Automático,28019,Comunidad de Madrid
Volkswagen,tiguan,23790,47638,2021,Diésel,150.0,LAGUNA,Automático,38108,Canarias
Renault,kadjar,10999,139301,2016,Gasolina,132.0,BESÒS,Automático,08903,Cataluña
Volkswagen,beetle,16900,79000,2014,Gasolina,211.0,RIELLS,Automático,08415,Cataluña
Mercedes-benz,a 200,16850,188000,2018,Diésel,136.0,MADRID,Automático,28007,Comunidad de Madrid
